filename,split,original_path,original_width,original_height
b2ed24cf7b698b92.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/b2ed24cf7b698b92.jpg,1024,649
43c4fea5a5e8d976.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/43c4fea5a5e8d976.jpg,1024,1024
44744335eaf34e26.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/44744335eaf34e26.jpg,768,1024
1475ffa06e1e2752.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/1475ffa06e1e2752.jpg,1024,768
5fab62761c11c1c6.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/5fab62761c11c1c6.jpg,1024,683
8d2e578c242ab5c3.jpg,test,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/8d2e578c242ab5c3.jpg,768,768
9de1881c059d8111.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/9de1881c059d8111.jpg,1024,768
0624e64571ef62a5.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/0624e64571ef62a5.jpg,1024,768
20ecaf9c0ab963dc.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/20ecaf9c0ab963dc.jpg,1024,768
497a0a6181dcf23b.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/497a0a6181dcf23b.jpg,1024,768
d661c5637e36f491.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/d661c5637e36f491.jpg,886,1024
12b32a1698ff43d4.jpg,test,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/12b32a1698ff43d4.jpg,682,1024
99a8555c58550d8f.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/99a8555c58550d8f.jpg,1024,669
e2e25c7b3018a1f8.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/e2e25c7b3018a1f8.jpg,1024,685
fa4d13664b9f99c0.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/fa4d13664b9f99c0.jpg,683,1024
4cd8d006d1aaabb8.jpg,test,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/4cd8d006d1aaabb8.jpg,1024,768
bcf954dcf49dd9bd.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/bcf954dcf49dd9bd.jpg,768,1024
c3e189cdb6a68667.jpg,val,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/c3e189cdb6a68667.jpg,1024,679
1a06e0530a641b80.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/1a06e0530a641b80.jpg,1024,685
d8d3cbea2e66d8b3.jpg,train,/Users/iquenavarro/Desktop/Insper/Insper AI/image-colorization/data/raw/train/d8d3cbea2e66d8b3.jpg,1024,683
